rank,video_id,title,publishedAt,channelId,channelTitle,categoryId,category,trending_date,tags,view_count,likes,dislikes,comment_count,duration
181,BnhePGv0gmQ,Tips & Tricks for Making Non-Surgical Protective Fabric Face Masks,2020-04-03T17:01:53.000Z,UC9duydx1VXTV0tP7q39S0Lw,JOANN Fabric and Craft Stores,26,Howto & Style,20.04.10,"""how to make a mask|non-surgical protective masks|cotton mask|pleated cotton mask|denim mask|tips & tricks|how to make fabric ties|elastic makes my ears hurt|scrub sewing patterns|cover up|covid-19|coronovirus|fabric masks""",1081352,0,0,461,283
182,y3lcPRHo_nY,"DIY Face Mask with Ties, Fitted Nose and Filter Pocket",2020-04-03T23:09:55.000Z,UCXrEE1TyCslZgsH1Pql51-Q,Melanie Ham,26,Howto & Style,20.04.10,"""face mask|diy face mask|how to sew a face mask|how to make face mask|face mask tutorial|sewing|fitted nose|mask with ties|filter pocket|how to sew|sewing tutorial|melanie ham""",511938,6452,246,415,611
183,Hi4oCx1NES4,I Made Bread and Took a Pretend Trip to France,2020-04-04T15:12:49.000Z,UCBMxQPhfM6nkhQ8vPfQhkCg,ThreadBanger,26,Howto & Style,20.04.10,"""DIY|threadbanger|Corinne Leigh|Rob Czar|how to|man vs pin|pinterest|pinterest fails|stay home|with me|france|bread|corinne vs pin""",221752,16623,139,2108,918
184,mVZN1nBrWAg,"Gorillaz | Machine Bitez #6 with 2D, Murdoc & Russel",2020-04-06T10:22:16.000Z,UCfIXdjDQH9Fau7y99_Orpjw,Gorillaz,1,Film & Animation,20.04.10,"""[none]""",203740,17719,202,1217,56
185,RY_rbooeMcI,Lamborghini Aventador vs NEW Tesla Model S Performance: DRAG RACE!,2020-04-04T08:02:46.000Z,UCUhFaUpnq31m6TNX2VKVSVA,carwow,2,Autos & Vehicles,20.04.10,"""carwow|mat watson|4k review|car review|car review 2019|car review 2020|lambo|lamborghini|lamborghini aventador|aventador|lamborghini aventador s|aventador s|tesla|tesla model s|model s|tesla model s performance|model s performance|electric car|electric cars|tesla 2020|tesla model s performance 2020|lamborghini drag race|supercar drag race|supercar|supercar drag race 2020|best electric car 2020|best super car 2020|best drag race|drag race 2020""",2235244,77367,1984,6949,601
186,AhGUBjK10DI,DIY Face Mask with Elastic in 10 minutes - Sewing Tutorial,2020-04-02T23:18:24.000Z,UCXrEE1TyCslZgsH1Pql51-Q,Melanie Ham,26,Howto & Style,20.04.10,"""how to|face mask|diy face mask|homemade face mask|sewing|how to sew|elastic|easy|beginner|melanie ham|tutorial|pattern|how to make""",1759179,21561,1320,1620,419
187,xh4kpdUqmwY,PREGNANT NIKKI BELLA recreates WWE ENTRANCE in RING GEAR!,2020-04-03T15:29:44.000Z,UCIJnHb6meZoOjKF68h35QgQ,The Bella Twins,22,People & Blogs,20.04.10,"""the bella twin|bellas|brie bella|nikki bella|bella wwe|bella youtube channel|nikki bella vlog|brie bella vlog|wwe vlogs|Bellas Daily Vlogs|Nikki Bella|Brie Bella|Birdie Joe Danielson|Bella Twins|nikki bella entrance|nikki bella titantron|nikki bella pregnant|nikki bella and artem|nikki bella in bikini|nikki bella in wrestling gear|bella twins entrance""",1705912,33704,1810,1771,135
188,J5nz24jrLDE,Zac Efron Ups the Ante While Eating Spicy Wings | Hot Ones,2020-04-02T15:00:08.000Z,UCPD_bxCRGpmmeQcbe2kpPaA,First We Feast,26,Howto & Style,20.04.10,"""First we feast|fwf|firstwefeast|food|food porn|cook|cooking|chef|kitchen|recipe|cocktail|bartender|craft beer|complex|complex media|Cook (Profession)sean evans|zac efron|zac efron hot ones|zac efron spicy wings|zac efron hot sauce|zac efron hot wings|zac efron sean evans|hot ones|hot ones hot sauce|the last dab|da bomb reaction|food challenge|spicy wing changellege|zac efron interview|zac efron 2020""",6412734,222112,2046,19993,1694
189,jMEoiqnYzS8,"Bad Robbers | Lele Pons, Hannah Stocking & Juanpa Zurita",2020-04-03T17:30:11.000Z,UCi9cDo6239RAzPpBZO9y5SA,Lele Pons,23,Comedy,20.04.10,"""Bad Robbers | Lele Pons|Hannah Stocking & Juanpa Zurita|lele pons|lele pons song|lele pons volar|lele pons music|lele hannah|lele juanpa|i can't relax|i have to get a job|finding a new best friend hannah stocking|what does his text mean hannah|working out with your girlfriend juanpa zurita|i have a crazy girlfriend juanpa|eljuanpazurita|shots|shots studios|anwar|rudy mancuso|anwar jibawi|lele tiktok|lele vine""",835721,35640,4767,2038,295
190,VbtjIPVveiI,Sleepy Hallow - Deep End Freestyle (Audio),2020-04-03T04:00:08.000Z,UCch8r_8Io6XK-d5QGkkGZLA,Sleepy Hallow,10,Music,20.04.10,"""[none]""",652244,35864,272,1441,117
